Topic,Difficulty,QuestionType,Question,OptionA,OptionB,OptionC,OptionD,MatchingPairs,CorrectAnswer,Explanation
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Medium,Multiple Choice,A hexose sugar has how many carbons?,4,5,6,7,,C,Hexose means six carbons.
Carbohydrates,Medium,Fill-in-the-Blank,A pentose sugar has _______ carbons.,,,,,,5|five|Five,Pentose means five.
Carbohydrates,Medium,True/False,Glucose is a monosaccharide.,,,,,,True,Glucose is a simple sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed from _______ monosaccharides.,,,,,,2|two|Two,Di means two.
Carbohydrates,Medium,Multiple Choice,Glucose + Fructose forms:,Lactose,Maltose,Sucrose,Glycogen,,C,Sucrose is table sugar.
Carbohydrates,Medium,True/False,Lactose is composed of glucose and galactose.,,,,,,True,Lactose is milk sugar.
Carbohydrates,Medium,Fill-in-the-Blank,Disaccharides are formed via _______ synthesis.,,,,,,dehydration|Dehydration,Water is removed to join sugars.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Carbohydrates,Hard,Multiple Choice,When blood sugar drops the branching polysaccharide _______ is broken down.,Starch,Deoxyribose,Glycogen,Cellulose,,C,Glycogen is animal storage polysaccharide.
Carbohydrates,Hard,Fill-in-the-Blank,_______ is a plant polysaccharide consisting of straight or slightly branched lines of glucose.,,,,,,Starch|starch,Starch stores energy in plants.
Carbohydrates,Hard,True/False,Glycogen is stored in liver and muscle cells.,,,,,,True,These tissues store glycogen for energy.
Carbohydrates,Hard,Fill-in-the-Blank,Polysaccharides are complex sugars composed of _______ linked monosaccharides.,,,,,,many|Many,Poly means many.
Carbohydrates,Hard,Multiple Choice,Glycogen has:,Straight chains,Slightly branched chains,Highly branched chains,No chains,,C,Glycogen is highly branched for quick access.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
Lipids,Easy,True/False,Lipids are often referred to as fats.,,,,,,True,Fats are lipid molecules.
Lipids,Easy,Multiple Choice,Lipids provide:,Only energy,Only insulation,Only cell membranes,Energy insulation membranes and signaling,,D,Lipids have many roles.
Lipids,Easy,True/False,Lipids are water insoluble.,,,,,,True,Lipids don't dissolve in water.
Lipids,Easy,Multiple Choice,Hydrophobic molecules:,Love water,Avoid water,Dissolve in water,Are always charged,,B,Hydrophobic means water-fearing.
Lipids,Easy,Fill-in-the-Blank,Lipids are largely _______ molecules.,,,,,,non-polar|nonpolar|Non-polar,Lipids lack polarity.
